Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Daily meals frequency,Physical exercise,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,Name_of_Exercise,Sets,Reps,Benefit,Burns Calories (per 30 min),Target Muscle Group,Equipment Needed,Difficulty Level,Body Part,Type of Muscle,Workout,BMI_calc,cal_from_macros,pct_carbs,protein_per_kg,pct_HRR,pct_maxHR,cal_balance,lean_mass_kg,expected_burn,Burns Calories (per 30 min)_bc,Burns_Calories_Bin,Burn_Category
34.91,Male,65.59292297623483,1.62,158.64753141551589,135.54239052406717,86.83858237116958,0.8106862594578431,513.1552964006751,Cardio,29.243916177872148,1.5,3.594821182744697,1.0072098626849897,24.993492979818175,2.99,0.01,330.01821433104664,93.68908659535099,65.46522139357762,2284.016196247789,Other,Dinner,Vegan,40.06536222914598,1729.94,285.05,120.47,Roasted,16.24,110.79,1.31,Decline Push-ups,4.99,20.91,Improves shoulder health and posture,342.58,Full Body,Cable Machine,Beginner,Legs,Lats,Dumbbell flyes,24.8704465782655,2139.59,0.5004323258194326,1.624789336601808,0.7412365096628462,0.8359847279669106,725.0999999999999,47.77739381514478,685.16,7.260425438142023e+19,Low,Med Burn
23.37,Female,56.41,1.55,165.24497797695946,116.70226865791373,77.28114789594038,1.270819666734769,576.2458574057968,Strength,29.900449041846883,1.9,2.5539001004501496,1.0778692048299467,23.479708636836623,3.01,0.97,135.9365684163264,89.13595629788561,43.39143624644595,1290.8130250748616,Other,Dinner,Vegetarian,13.827335298784558,693.08,300.61,109.15,Roasted,16.47,12.01,1.92,Bear Crawls,4.01,16.15,Strengthens lower abs,357.16,Shoulders,Step or Box,Beginner,Chest,Lats,Lateral raises,23.479708636836623,1711.65,0.5008500569625799,1.5140932458783904,0.5512470588235293,0.7342696316112133,-232.91000000000008,40.8098026823542,978.6184000000002,1.02050570044361e+20,High,Med Burn
33.2,Female,59.14192068551159,1.67,160.0142538871732,161.81185602644553,89.55752596368839,0.6074706612554674,471.25624043973323,HIIT,31.13454005216687,1.88,2.7925555375617512,1.0351082903413658,21.206181894478682,1.99,-0.02,60.43799564815046,143.19059986530667,91.68198472467401,1639.6522445758947,Other,Lunch,Paleo,2.2582915433178576,2142.48,215.42,399.43,Fried,54.35,6.09,4.7,Dips,5.0,21.9,Builds chest strength,359.63,Legs,Step or Box,Beginner,Arms,Grip Strength,Standing calf raises,21.148122915844954,1965.92,0.5006104012370798,1.6634452356731095,0.5745336442371753,0.708123857404022,805.74,44.63557970100271,654.5266,1.0796070881410969e+20,High,Med Burn
38.69,Female,94.15245754377433,1.7,189.34870829307343,154.49549685565245,48.85764134087517,1.5532478150567712,1698.3063874641714,Strength,28.34912711810408,2.5,3.923255027685528,2.9025543110561727,32.57870503244787,3.0,0.04,90.40402863144561,377.3240516252637,103.40429194084945,2801.5509484944823,Other,Dinner,Paleo,4.327833711416071,123.2,9.7,314.31,Grilled,27.73,103.72,4.85,Mountain Climbers,4.01,16.92,Improves coordination and cardiovascular health,351.65,Chest,Parallel Bars or Chair,Advanced,Shoulders,Upper,Incline dumbbell flyes,32.44982698961938,1627.28,0.499532962981171,0.8620174877372574,0.7441547399744933,0.811150044453742,1206.21,63.00743237900567,773.63,8.987921156899057e+19,High,High Burn
45.09,Male,54.45436993373688,1.88,180.4324535741498,92.70609810641446,38.240459470726584,1.0616954193005286,313.27102983889785,Yoga,19.34579255276428,2.91,6.536537306996651,3.1506960032468685,15.406962973556157,3.0,3.0,822.6386146575638,168.0555774105746,72.28068430129363,4613.302926984196,Other,Lunch,Vegan,98.99876848740226,1935.11,116.89,99.22,Grilled,34.16,46.55,3.07,Bicep Curls,4.99,15.01,Targets obliques and improves core rotation,329.36,Back,Wall,Advanced,Abs,Wrist Flexors,Military press,14.831371661385244,2659.2300000000005,0.5005809952505048,2.538153376573827,0.6684047580250936,0.7897510073354684,303.5999999999999,43.34750358810577,711.4176000000001,5.264684819918977e+19,Low,Low Burn
53.19,Female,107.13821592288053,1.84,175.23136461941522,162.80680331065344,54.33930446488212,1.444313023057061,1912.5842135840871,Cardio,24.147907071957817,2.91,5.472187209444064,2.7665364845991856,31.64526699045384,2.99,-0.04,7.76916551742012,23.75305587548659,25.636711652607893,356.81929044509786,Other,Breakfast,Keto,0.04498006638938273,2382.39,36.38,416.54,Boiled,20.98,54.64,3.38,Leg Press,4.0,25.1,Builds explosive power,374.56,Legs,Resistance Band or Cable Machine,Advanced,Arms,Wrist Flexors,Skull crushers,31.02847353497164,1369.66,0.4989851495991706,0.6465492622560686,0.5995814440181373,0.7398595060049852,2313.67,71.38245822835935,516.8928,1.505159478350823e+20,High,High Burn
23.17,Male,58.41,1.78,177.4713042672273,156.60435575834262,74.21687945741645,0.5205104836137338,381.2510662829899,HIIT,12.499546319746358,2.71,5.904948064354029,2.240294239752413,18.435172326726423,2.02,-0.03,279.627367032293,327.7759060233666,148.39386654680547,3765.1578911438874,Other,Lunch,Low-Carb,28.355965502209912,2220.46,56.69,289.93,Baked,52.43,46.08,3.81,Thrusters,5.01,25.04,Strengthens back and improves posture,328.94,Full Body,None or Dumbbells,Intermediate,Shoulders,Wrist Flexors,Barbell rows,18.435172326726423,2245.45,0.4993742902313567,1.923472008217771,0.6540160959444533,0.7626522327469554,-86.90000000000009,46.4089108397424,1098.6596,5.21010619370904e+19,High,Low Burn
55.92,Female,86.69566341524603,1.63,167.21377621162713,112.39064871916466,54.84860411609423,0.8514338833655877,524.1311058406878,Yoga,17.985980329716355,2.88,6.082233468874205,2.722909574997347,32.63038255683166,2.99,0.0,195.3338455695314,185.48789439471156,100.82910593711983,2430.7489132910505,Other,Lunch,Low-Carb,18.95995598262142,1501.99,74.7,487.67,Grilled,38.57,36.64,3.16,Turkish Get-ups,4.97,18.95,Improves core stability and upper body strength,363.56,Core,Pull-up Bar,Advanced,Back,Lower,Hammer curl,31.6421393353156,2105.25,0.4988861180382377,1.2538360889734743,0.6763325257419746,0.767498776309349,1463.19,57.093470262707264,734.3912,1.179845981806973e+20,Medium,Med Burn
24.11,Female,88.58,1.79,182.47752505076656,104.69583068140983,75.65220008737202,1.3430609904682744,808.4016780398235,Yoga,24.135385656263523,3.49,4.345523367968605,2.2642991494076807,27.645828781873224,3.0,0.02,264.67686491059123,17.742081891210574,32.121332176319555,1418.7677767940831,Other,Snack,Vegan,46.42185117138699,293.36,188.26,123.56,Raw,45.85,14.31,2.81,Glute Bridges,3.99,24.1,Full body workout,349.51,Full Body,Barbell,Intermediate,Chest,Middle,Russian twists,27.645828781873224,1383.27,0.5004952033948543,0.7839241363738992,0.7964871404247692,0.871535241543161,524.6300000000001,64.33809369821437,1230.2752,8.55076051981236e+19,Very High,High Burn
39.19,Female,50.84005438291114,1.6,183.07537259787782,161.07467900094875,63.189750617362506,1.62814725642929,1051.41124563471,Cardio,19.352046697779663,2.49,6.775313117630765,3.2808426529353993,19.85939624332466,3.01,0.02,53.395174787009275,58.49704694477925,19.695310553840088,624.8266819117149,Other,Breakfast,Paleo,2.279123769222581,757.93,291.34,415.04,Boiled,18.95,26.51,1.6,Step-ups,4.02,16.09,Builds chest strength,326.31,Legs,Low Bar or TRX,Advanced,Forearms,Lower Chest,Towel pull-up,19.65625,1527.67,0.5002651096113689,1.5254372019077902,0.6679490467641275,0.7672579098753595,89.75,39.29520041276037,763.5654,4.879493878779312e+19,High,High Burn
